name,ein,homepage,twitter,facebook,instagram,youtube,rss
"Alaska Center for the Performing Arts, Inc.",92-0120733,https://www.alaskapac.org/,https://twitter.com/AlaskaPAC,https://www.facebook.com/ScaredScriptlessAlaska,,,
CROSS ROAD HEALTH MINISTRIES INC,92-0126047,http://www.crossroadmc.org/,,https://www.facebook.com/CrossRoadMedicalCenter,,,
CHUGACH REGIONAL RESOURCES,92-0126412,http://www.crrcalaska.org/,,,,,
Denali Education Center,92-0131177,https://www.denali.org/,,https://www.facebook.com/denalieducationcenter,https://www.instagram.com/denalieducationcenter,,https://www.denali.org/feed/
SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE,92-0132479,https://www.guidestar.org/profile/92-0132479,,,,,
KOAHNIC BROADCAST CORPORATION,92-0139738,https://koahnicbroadcast.org/,,,,,
Life Alaska Donor Services,92-0140815,https://www.lifealaska.org/,,,,,
INTERIOR COMMUNITY HEALTH CENTER,92-0147354,https://interiorhealthalaska.com/,,,,,https://interiorhealthalaska.com/feed/
Alutiiq Heritage Foundation,92-0150422,https://www.alutiiqmuseum.org/about,,,,,
Alaska Community Foundation,92-0155067,https://alaskacf.org/,https://twitter.com/akcommunity,https://www.facebook.com/AlaskaCF,,https://www.youtube.com/user/AlaskaCF,https://alaskacf.org/feed/
SOUTHEAST ALASKA LAND TRUST,92-0156402,https://www.southeastalaskalandtrust.org/,,https://www.facebook.com/southeastalaskalandtrust1995,https://www.instagram.com/southeastalaskalandtrust,,
YUKON RIVER INTER-TRIBAL WATERSHED COUNCIL,92-0166976,https://www.yritwc.org/,https://twitter.com/YRITWC,,https://www.instagram.com/theyritwc,https://www.youtube.com/user/TheYRITWC,
"Alaska Wildlife Conservation Center, Inc.",92-0170600,https://www.alaskawildlife.org/,https://twitter.com/akwildlife,,,,https://www.alaskawildlife.org/feed/
FIRST ALASKANS INSTITUTE,92-0174854,https://www.facebook.com/FirstAlaskansInstitute/,,https://www.facebook.com/WhiteHouseAIAN,,,https://m.facebook.com/FirstAlaskansInstitute/
TRUSTEES FOR ALASKA,92-6010379,https://www.trustees.org/,https://twitter.com/TrusteesForAK,,https://www.instagram.com/TrusteesforAlaska,,https://www.trustees.org/feed/
